Asset,Model,Metric,Value
AAPL,Linear Regression,MSE,0.9449975384230115
AAPL,Linear Regression,MAE,0.6780255208877684
AAPL,Linear Regression,R2,0.9995881115669653
AAPL,Linear Regression,MSE,0.9449975384230115
AAPL,Linear Regression,MAE,0.6780255208877684
AAPL,Linear Regression,R2,0.9995881115669653
AAPL,Random Forest,MSE,0.9390964913984964
AAPL,Random Forest,MAE,0.5150568539819054
AAPL,Random Forest,R2,0.9995906836085986
AAPL,Random Forest,MSE,0.9390964913984964
AAPL,Random Forest,MAE,0.5150568539819054
AAPL,Random Forest,R2,0.9995906836085986
AAPL,Support Vector Regressor,MSE,128.77215456770293
AAPL,Support Vector Regressor,MAE,5.593507859276377
AAPL,Support Vector Regressor,R2,0.9438731226200754
AAPL,Support Vector Regressor,MSE,128.77215456770293
AAPL,Support Vector Regressor,MAE,5.593507859276377
AAPL,Support Vector Regressor,R2,0.9438731226200754
MSFT,Linear Regression,MSE,2.7762152036826504
MSFT,Linear Regression,MAE,1.0478234532239903
MSFT,Linear Regression,R2,0.9996567983620546
MSFT,Linear Regression,MSE,2.7762152036826504
MSFT,Linear Regression,MAE,1.0478234532239903
MSFT,Linear Regression,R2,0.9996567983620546
MSFT,Random Forest,MSE,3.5427661275448696
MSFT,Random Forest,MAE,0.9599571102349337
MSFT,Random Forest,R2,0.9995620357037819
MSFT,Random Forest,MSE,3.5427661275448696
MSFT,Random Forest,MAE,0.9599571102349337
MSFT,Random Forest,R2,0.9995620357037819
MSFT,Support Vector Regressor,MSE,782.9156248582979
MSFT,Support Vector Regressor,MAE,15.02528066381588
MSFT,Support Vector Regressor,R2,0.9032143025266878
MSFT,Support Vector Regressor,MSE,782.9156248582979
MSFT,Support Vector Regressor,MAE,15.02528066381588
MSFT,Support Vector Regressor,R2,0.9032143025266878
GOOGL,Linear Regression,MSE,0.5878704185015072
GOOGL,Linear Regression,MAE,0.48576159531199953
GOOGL,Linear Regression,R2,0.9995706187042251
GOOGL,Linear Regression,MSE,0.5878704185015072
GOOGL,Linear Regression,MAE,0.48576159531199953
GOOGL,Linear Regression,R2,0.9995706187042251
GOOGL,Random Forest,MSE,0.7850090179718182
GOOGL,Random Forest,MAE,0.49495221219321556
GOOGL,Random Forest,R2,0.9994266284223131
GOOGL,Random Forest,MSE,0.7850090179718182
GOOGL,Random Forest,MAE,0.49495221219321556
GOOGL,Random Forest,R2,0.9994266284223131
GOOGL,Support Vector Regressor,MSE,60.202395236464746
